subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
34,combined,C-EXT-RPHC-UK,1.35625,5.7,160,1.39375,6.55625,0.84375,0.01875,0.03750000000000009
74,short,SB-XT-RPh----,1.025,4.0625,80,1.225,3.975,0.8,0.025,0.20000000000000018
74,long,LBE-T-RPhCL--,1.025,6.5125,80,1.6625,9.0625,0.9125,0.0125,0.6375000000000002
74,combined,C-EXT-RPHC-UK,1.025,5.2875,160,1.44375,6.53125,0.85625,0.01875,0.4187500000000002
65,short,SB-XT-RPh----,1.15,3.75,80,1.175,3.975,0.7875,0.025,0.025000000000000133
65,long,LBE-T-RPhCL--,1.175,6.75,80,1.6125,9.1125,0.9,0.0125,0.4375
65,combined,C-EXT-RPHC-UK,1.1625,5.25,160,1.39375,6.54375,0.84375,0.01875,0.23124999999999996
49,short,SB-XT-RPh----,0.7,3.825,80,1.175,3.9375,0.7875,0.025,0.4750000000000001
49,long,LBE-T-RPhCL--,1.05,5.9125,80,1.6125,9.25,0.9,0.0125,0.5625
49,combined,C-EXT-RPHC-UK,0.875,4.86875,160,1.39375,6.58125,0.84375,0.01875,0.51875
104,short,SB-XT-RPh----,0.8,3.325,80,1.225,4.0375,0.8,0.025,0.42500000000000004
104,long,LBE-T-RPhCL--,1.0125,5.0375,80,1.6625,9.1375,0.9125,0.0125,0.6500000000000001
104,combined,C-EXT-RPHC-UK,0.90625,4.18125,160,1.44375,6.56875,0.85625,0.01875,0.5375000000000001
89,short,SB-XT-RPh----,0.95,4.05,80,1.175,3.9875,0.7875,0.025,0.2250000000000001
89,long,LBE-T-RPhCL--,1.1,6.3125,80,1.6625,9.0125,0.9125,0.0125,0.5625
