fit,n_subjects,n_games,human_points,optimal_points,shortfall,shortfall_sd,shortfall_median,shortfall_iqr_lo,shortfall_iqr_hi,wilcoxon_p,n_subjects_above_optimum,human_correct,optimal_correct,human_draws,optimal_draws,draws_diff,draws_p,n_subjects_below_optimal_draws
short,105,80.0,71.8,95.75238095238095,23.952380952380953,15.538030857557303,24.0,15.0,33.0,1.1415323146301594e-17,7,,0.7929761904761905,3.938452380952381,3.948095238095238,-0.009642857142857132,0.6736590385534507,54
long,105,80.0,88.21904761904761,131.78095238095239,43.56190476190476,12.517621279254397,43.0,35.0,51.0,5.672537780451066e-19,0,,0.9086904761904762,6.779285714285714,9.009880952380952,-2.2305952380952383,1.3010688086275239e-18,100
combined,105,160.0,160.01904761904763,227.38095238095238,67.36190476190477,20.295946833677355,68.0,54.0,81.0,5.801494270444626e-19,0,,0.8505952380952381,5.358869047619049,6.475773809523809,-1.1169047619047618,2.7973677818098447e-18,99
