task,fam,horizon,k,BIC,n,forgetting
LBEXT-R-H----,commit,L,6,48704.9487051445,105,False
LBEXT-RP-C-UK,full,L,9,38970.93839320798,105,False
LBEXT-RP-C-UK,commit,L,9,34505.48737380352,105,False
LBEXT-RPHC---,full,L,8,39056.24491879597,105,False
LBEXT-RPHC---,commit,L,8,34541.378043989745,105,False
LBEXT-RPHCL--,full,L,9,38905.57111191541,105,False
LBEXT-RPHCL--,commit,L,9,34903.33247428379,105,False
LBEXT-RPHCLUK,full,L,11,39502.79205160337,105,False
LBEXT-RPHCLUK,commit,L,11,35646.700482376225,105,False
LBEXT-RPhC---,full,L,7,38524.376228411544,105,False
LBEXT-RPhC---,commit,L,7,33917.15669419076,105,False
LBEXT-RPhCL--,full,L,8,38248.333598076744,105,False
LBEXT-RPhCL--,commit,L,8,34246.15808482901,105,False
LBEXT-RPhCLUK,full,L,10,38870.483069861286,105,False
LBEXT-RPhCLUK,commit,L,10,35022.740581226426,105,False
S--XT---H----,full,S,3,38455.82181851239,105,False
S--XT---H----,commit,S,3,33104.477510347584,105,False
S--XT-R------,full,S,3,39001.377809785066,105,False
S--XT-R------,commit,S,3,34125.97125374375,105,False
S--XT-R-H----,full,S,4,38115.091223266,105,False
S--XT-R-H----,commit,S,4,32429.98872106855,105,False
S--XT-R-h----,full,S,3,38094.78329990449,105,False
S--XT-R-h----,commit,S,3,32363.17366541352,105,False
S--XT-RPH--UK,full,S,7,28919.673819510404,105,False
S--XT-RPH--UK,commit,S,7,24405.025382493153,105,False
S--XT-RPHC-UK,full,S,8,29433.52187913781,105,False
S--XT-RPHC-UK,commit,S,8,24964.735346425434,105,False
SB-XT-R-h----,full,S,4,38422.54230063854,105,False
SB-XT-RP-C-UK,full,S,8,29369.473986587098,105,False
SB-XT-RP-C-UK,commit,S,8,24872.261389101055,105,False
SB-XT-RPHC-UK,full,S,9,29862.250158406736,105,False
SB-XT-RPHC-UK,commit,S,9,25438.46200159634,105,False
SB-XT-RPh----,full,S,5,28601.568457351677,105,False
SB-XT-RPh----,commit,S,5,23495.98067850928,105,False
SB-XT-RPhC-UK,full,S,8,29361.36090024797,105,False
SB-XT-RPhC-UK,commit,S,8,24888.67431648466,105,False
SB-XTGRPH----,full,S,7,33078.99377903937,105,True
SB-XTGRPH----,commit,S,7,28803.02905320219,105,True
SB-XTGRPHC---,full,S,8,29318.30729817387,105,True
SB-XTGRPHC---,commit,S,8,24947.522905504356,105,True
SB-XTGRPHC-UK,full,S,10,30066.276106329195,105,True
SB-XTGRPHC-UK,commit,S,10,25789.985187681385,105,True
SB-XTGRPhC---,full,S,7,28694.779041099606,105,True
SB-XTGRPhC---,commit,S,7,24303.028963349985,105,True
SBEXT--PHC-UK,full,S,9,29896.700035171452,105,False
SBEXT--PHC-UK,commit,S,9,25358.049226189847,105,False
SBEXT-R-h----,full,S,5,38019.71771421823,105,False
SBEXT-RP-C-UK,full,S,9,29719.72225871243,105,False
SBEXT-RP-C-UK,commit,S,9,25217.14684013418,105,False
SBEXT-RPH----,full,S,7,29300.68671547211,105,False
SBEXT-RPH----,commit,S,7,24392.928424418926,105,False
SBEXT-RPHC---,full,S,8,29447.558681266757,105,False
SBEXT-RPHC---,commit,S,8,24917.638056346823,105,False
SBEXT-RPHC-U-,full,S,9,29776.1028984923,105,False
SBEXT-RPHC-U-,commit,S,9,25359.999261239456,105,False
SBEXT-RPHC-UK,full,S,10,30215.8753901883,105,False
SBEXT-RPHC-UK,commit,S,10,25783.599435624095,105,False
SBEXT-RPh----,full,S,6,28827.95582772752,105,False
SBEXT-RPh----,commit,S,6,23821.894236218905,105,False
SBEXT-RPhC---,full,S,7,28865.713980765922,105,False
SBEXT-RPhC---,commit,S,7,24330.046567373698,105,False
SBEXT-RPhC-UK,full,S,9,29703.053948075256,105,False
SBEXT-RPhC-UK,commit,S,9,25227.668084491626,105,False
