fit,measure,rho,p,n
short,FA2,0.02005558405432601,0.8390811327876706,105
short,OCIR_total,0.06952331060366096,0.4809798151394472,105
long,FA2,0.05284182813051789,0.5924007765049879,105
long,OCIR_total,0.04890399696973001,0.620307325049296,105
combined,FA2,0.06458870687673475,0.5127261009058106,105
combined,OCIR_total,0.08042990804855973,0.41471852291360567,105
