subject_ID,fit,task,human,human_draws,n_games,fitted,fitted_draws,fitted_correct,fitted_missed,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,normative_matched,normative_matched_draws,normative_matched_correct,normative_matched_missed,no_regulation,no_regulation_draws,no_regulation_correct,no_regulation_missed,no_belief_bias,no_belief_bias_draws,no_belief_bias_correct,no_belief_bias_missed,no_subjective_cost,no_subjective_cost_draws,no_subjective_cost_correct,no_subjective_cost_missed,no_exaggeration,no_exaggeration_draws,no_exaggeration_correct,no_exaggeration_missed,no_hazard_lapse,no_hazard_lapse_draws,no_hazard_lapse_correct,no_hazard_lapse_missed,gap_full,gap_matched,model_error
28,short,SB-XT-RPh----,0.7875,3.675,80,0.7791666666666667,3.5666666666666673,0.6666666666666666,0.1125,1.225,3.9375,0.8,0.025,0.008333333333333333,1.5708333333333333,0.5,0.008333333333333333,0.7208333333333333,2.8583333333333334,0.6458333333333334,0.1375,0.8166666666666667,3.5791666666666666,0.6791666666666667,0.1,0.3625,3.025,0.5875,0.0125,,,,,,,,,0.4375000000000001,-0.7791666666666667,-0.008333333333333304
28,long,LBE-T-RPhCL--,1.3125,6.975,80,1.2666666666666666,7.1375,0.8125,0.016666666666666666,1.6625,9.1125,0.9125,0.0125,0.05,1.475,0.5125,0.0,0.9,4.366666666666666,0.7,0.1,1.125,7.0166666666666675,0.775,0.025,0.16666666666666666,4.595833333333333,0.5416666666666666,0.0,1.2708333333333333,7.104166666666667,0.8125,0.020833333333333332,1.0875,6.404166666666667,0.7666666666666667,0.020833333333333332,0.3500000000000001,-1.2625,-0.04583333333333339
28,combined,C-EXT-RPHC-UK,1.05,5.325,160,1.0541666666666667,5.435416666666667,0.7520833333333334,0.04583333333333333,1.44375,6.525,0.85625,0.01875,0.7979166666666667,2.2,0.6979166666666666,0.00625,0.7729166666666667,2.3208333333333337,0.6916666666666667,0.00625,,,,,0.9104166666666668,5.324999999999999,0.7125,0.060416666666666674,1.0708333333333333,5.210416666666667,0.7520833333333333,0.0625,,,,,0.39375000000000004,-0.2520833333333333,0.004166666666666652
10,short,SB-XT-RPh----,0.7875,3.6375,80,0.7375,3.575,0.6791666666666667,0.020833333333333332,1.125,3.9625,0.775,0.025,-0.029166666666666667,1.5083333333333333,0.4916666666666666,0.004166666666666667,0.6791666666666667,2.0541666666666667,0.6583333333333333,0.04583333333333333,0.7541666666666667,3.6208333333333327,0.6791666666666667,0.0375,0.004166666666666667,3.425,0.4916666666666666,0.0375,,,,,,,,,0.3375,-0.8166666666666667,-0.04999999999999993
10,long,LBE-T-RPhCL--,1.1625,7.2375,80,1.1041666666666667,7.345833333333333,0.7708333333333334,0.020833333333333332,1.6625,8.875,0.9125,0.0125,0.1,1.4458333333333333,0.525,0.0,0.9291666666666668,3.2375,0.7208333333333333,0.04583333333333333,1.325,7.1875,0.8291666666666668,0.008333333333333333,0.1,5.479166666666667,0.525,0.0,1.1166666666666667,7.354166666666667,0.775,0.016666666666666666,1.0875,6.741666666666665,0.7708333333333334,0.004166666666666667,0.5,-1.0625,-0.05833333333333335
10,combined,C-EXT-RPHC-UK,0.975,5.4375,160,0.975,5.4416666666666655,0.7270833333333333,0.06666666666666667,1.39375,6.48125,0.84375,0.01875,0.8166666666666668,2.2354166666666666,0.7041666666666666,0.0,0.75625,2.2291666666666665,0.6875,0.00625,,,,,0.9729166666666667,5.5,0.7229166666666667,0.08125,0.8791666666666667,5.560416666666667,0.7041666666666666,0.0625,,,,,0.41875000000000007,-0.15833333333333321,0.0
