subject_ID,fit,task,human,human_draws,n_games,fitted,fitted_draws,fitted_correct,fitted_missed,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,normative_matched,normative_matched_draws,normative_matched_correct,normative_matched_missed,no_regulation,no_regulation_draws,no_regulation_correct,no_regulation_missed,no_belief_bias,no_belief_bias_draws,no_belief_bias_correct,no_belief_bias_missed,no_subjective_cost,no_subjective_cost_draws,no_subjective_cost_correct,no_subjective_cost_missed,no_exaggeration,no_exaggeration_draws,no_exaggeration_correct,no_exaggeration_missed,no_hazard_lapse,no_hazard_lapse_draws,no_hazard_lapse_correct,no_hazard_lapse_missed,gap_full,gap_matched,model_error
28,short,SB-XT-RPh----,0.7875,6.0,80,0.8924999999999998,3.6450000000000005,0.6975,0.1025,1.225,3.925,0.8,0.025,0.0625,1.4875,0.515,0.0025,0.5675,2.84,0.605,0.1475,0.7825,3.69,0.67,0.1025,0.065,2.935,0.5125,0.015,,,,,,,,,0.4375000000000001,-0.725,0.10499999999999987
28,long,LBE-T-RPhCL--,1.3125,12.0,80,1.2525,7.097499999999999,0.8074999999999999,0.0225,1.6625,9.0,0.9125,0.0125,0.13,1.505,0.5325,0.0,0.9125,3.8899999999999997,0.7075,0.0825,1.195,7.105000000000001,0.795,0.015,0.13,4.82,0.5325,0.0,1.245,7.082499999999999,0.805,0.025,1.225,6.455,0.805,0.005,0.3500000000000001,-1.1825,-0.06000000000000005
28,combined,C-EXT-RPHC-UK,1.05,9.0,160,0.9862500000000001,5.32,0.73375,0.051250000000000004,1.46875,6.40625,0.8625,0.01875,0.8400000000000001,2.20125,0.70875,0.005,0.8237500000000001,2.25875,0.70375,0.00875,,,,,0.9650000000000001,5.34875,0.7275,0.05499999999999999,1.0325,5.2575,0.74375,0.057499999999999996,,,,,0.41874999999999996,-0.20999999999999996,-0.06374999999999997
10,short,SB-XT-RPh----,0.7875,6.0,80,0.8074999999999999,3.575,0.695,0.027500000000000004,1.125,3.975,0.775,0.025,0.135,1.515,0.5325,0.005,0.5875,2.175,0.635,0.0475,0.665,3.5774999999999997,0.6575,0.035,0.16,3.34,0.5375,0.01,,,,,,,,,0.3375,-0.6525,0.019999999999999907
10,long,LBE-T-RPhCL--,1.1625,12.0,80,1.155,7.1875,0.785,0.015,1.6625,8.825,0.9125,0.0125,0.07,1.54,0.5175,0.0,0.8324999999999999,3.335,0.6975,0.0425,1.1925,7.425,0.7925,0.0225,0.18,5.57,0.545,0.0,1.0975,7.3625,0.77,0.0175,1.1125,6.815,0.7775,0.0025,0.5,-1.0925,-0.007500000000000062
10,combined,C-EXT-RPHC-UK,0.975,9.0,160,0.8825,5.5,0.70375,0.06749999999999999,1.39375,6.48125,0.84375,0.01875,0.81875,2.26125,0.7025,0.00875,0.775,2.2600000000000002,0.6924999999999999,0.005,,,,,0.9175000000000001,5.46375,0.7175,0.0475,0.96,5.45625,0.7262500000000001,0.05500000000000001,,,,,0.41875000000000007,-0.15625,-0.09250000000000003
53,short,SB-XT-RPh----,1.025,6.0,80,0.875,3.9025,0.685,0.135,1.225,3.95,0.8,0.025,-0.0675,1.59,0.48250000000000004,0.0025,0.595,3.1125,0.5925,0.225,0.8675,3.85,0.6875,0.11749999999999998,-0.0325,3.2725,0.4875,0.0175,,,,,,,,,0.20000000000000018,-1.0924999999999998,-0.1499999999999999
53,long,LBE-T-RPhCL--,1.225,12.0,80,1.2425,9.4075,0.8074999999999999,0.0125,1.6625,8.925,0.9125,0.0125,0.49000000000000005,1.605,0.6225,0.0,0.73,2.29,0.6825,0.0,1.24,9.43,0.8074999999999999,0.01,0.6875,8.9925,0.67,0.0075,1.225,9.41,0.8,0.025,1.145,9.81,0.7775,0.035,0.4375,-0.7350000000000001,0.01749999999999985
53,combined,C-EXT-RPHC-UK,1.125,9.0,160,1.0375,6.5025,0.7437500000000001,0.0625,1.44375,6.4375,0.85625,0.01875,0.8474999999999999,2.49625,0.71,0.0075,0.78,2.5262499999999997,0.6925000000000001,0.01,,,,,1.0675000000000001,6.61875,0.75125,0.0625,1.0975000000000001,6.672499999999999,0.7587499999999999,0.0625,,,,,0.3187500000000001,-0.2775000000000001,-0.08749999999999991
