fit,policy,total_points,sd,correct,draws
short,human,71.8,15.092280247759883,0.7016666666666667,3.938452380952381
short,fitted,61.91333333333333,9.904142166350503,0.6632559523809524,3.957666666666666
short,optimal_full,95.67619047619047,5.916884637165389,0.7927380952380952,3.9482142857142857
short,normative_matched,5.901428571428571,4.85128579874438,0.5175714285714286,1.4959345238095239
short,no_regulation,45.825714285714284,8.675036339664839,0.6047559523809524,2.7769583333333334
short,no_belief_bias,62.84047619047618,9.908259703297311,0.6663214285714286,3.956559523809524
short,no_subjective_cost,7.040952380952381,6.498726875883153,0.5154345238095238,3.4467440476190467
short,gap,23.876190476190477,15.320734591556253,,
long,human,88.21904761904761,12.795718148287063,0.770595238095238,6.779285714285714
long,fitted,89.42333333333332,7.400474473700821,0.7737023809523811,6.768964285714286
long,optimal_full,131.78095238095239,2.4257471187757975,0.9086904761904762,9.017142857142856
long,normative_matched,5.488571428571428,6.860338412342946,0.5171488095238096,1.508761904761905
long,no_regulation,64.34190476190477,6.438063357760219,0.69275,3.000232142857143
long,no_exaggeration,90.0442857142857,6.96844299698274,0.7751726190476189,6.844434523809523
long,no_belief_bias,89.7490476190476,7.19820016550739,0.7747321428571429,6.781839285714286
long,no_subjective_cost,9.360952380952382,9.914553165365772,0.5289940476190477,5.131821428571428
long,no_hazard_lapse,85.6895238095238,7.8216467847192135,0.763095238095238,6.337607142857143
long,gap,43.56190476190476,12.517621279254396,,
combined,human,160.01904761904763,20.50843210842281,0.7361309523809523,5.358869047619049
combined,fitted,151.35380952380953,15.873093003628231,0.7183184523809523,5.355723214285714
combined,optimal_full,227.64761904761906,6.659263288516797,0.8510119047619048,6.485238095238095
combined,normative_matched,122.2204761904762,18.84641836922829,0.6895595238095238,2.353107142857143
combined,no_regulation,127.94571428571427,15.205652912469937,0.6974672619047618,2.434372023809524
combined,no_exaggeration,151.02142857142857,16.485617066247322,0.7176220238095237,5.367976190476191
combined,no_subjective_cost,149.08333333333334,19.248888163029584,0.7179880952380953,5.252458333333334
combined,gap,67.62857142857143,20.404683259024115,,
