subject_ID,fit,task,human,human_draws,n_games,fitted,fitted_draws,fitted_correct,fitted_missed,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,normative_matched,normative_matched_draws,normative_matched_correct,normative_matched_missed,no_regulation,no_regulation_draws,no_regulation_correct,no_regulation_missed,no_belief_bias,no_belief_bias_draws,no_belief_bias_correct,no_belief_bias_missed,no_subjective_cost,no_subjective_cost_draws,no_subjective_cost_correct,no_subjective_cost_missed,no_exaggeration,no_exaggeration_draws,no_exaggeration_correct,no_exaggeration_missed,no_hazard_lapse,no_hazard_lapse_draws,no_hazard_lapse_correct,no_hazard_lapse_missed,gap_full,gap_matched,model_error
39,combined,C-EXT-RPHC-UK,0.95625,5.4625,160,0.8928125000000001,5.444374999999999,0.704375,0.0753125,1.46875,6.41875,0.8625,0.01875,0.7809375000000001,2.38,0.6934374999999999,0.0071874999999999994,0.7578125,2.2890625,0.6878124999999999,0.006562500000000001,,,,,0.9574999999999999,5.483750000000001,0.7240624999999999,0.06124999999999999,0.9478125000000001,5.45,0.7196875,0.0690625,,,,,0.5125,-0.17531249999999998,-0.06343749999999992
37,short,SB-XT-RPh----,0.5875,4.3125,80,0.298125,4.343125,0.49625,0.313125,1.075,3.975,0.7625,0.025,-0.02,1.503125,0.49437499999999995,0.0025,0.45125000000000004,2.45375,0.58875,0.09625,0.396875,4.351875,0.52875,0.281875,-0.08875,3.024375,0.4675000000000001,0.04125,,,,,,,,,0.48749999999999993,-0.6075,-0.28937500000000005
37,long,LBE-T-RPhCL--,0.6625,6.1375,80,0.813125,6.028125,0.701875,0.005625,1.5125,8.9375,0.875,0.0125,-0.0475,1.533125,0.488125,0.0,0.4756250000000001,2.074375,0.61875,0.000625,0.796875,6.078125,0.696875,0.009375,-0.21937499999999996,4.195625,0.445,0.000625,0.836875,6.073125,0.7075,0.006875000000000001,0.754375,5.56,0.6875,0.004375,0.85,-0.71,0.150625
37,combined,C-EXT-RPHC-UK,0.625,5.225,160,0.5821875000000001,5.2465625000000005,0.6084375,0.1484375,1.29375,6.475,0.81875,0.01875,0.2971875,1.5790625,0.5734375,0.0034375000000000005,0.5384375,2.0,0.6321875,0.0096875,,,,,0.361875,4.133125,0.5759375,0.058125,0.5334375,5.26875,0.59375,0.15843749999999998,,,,,0.66875,-0.3278125,-0.04281249999999992
1,short,SB-XT-RPh----,1.0625,3.6625,80,0.6475,3.680625,0.640625,0.085,1.225,4.0,0.8,0.025,0.0075,1.494375,0.500625,0.005,0.458125,2.32625,0.590625,0.095625,0.6775,3.666875,0.649375,0.08,0.05187499999999999,3.395625,0.51,0.011875,,,,,,,,,0.1625000000000001,-1.055,-0.41500000000000004
1,long,LBE-T-RPhCL--,0.925,7.4625,80,1.186875,7.451874999999999,0.795625,0.004375,1.6625,8.9,0.9125,0.0125,0.185,1.490625,0.54625,0.0,0.82875,2.565625,0.704375,0.01125,1.161875,7.4975,0.789375,0.004375,0.158125,6.07,0.539375,0.000625,1.1775,7.441874999999999,0.793125,0.005,1.184375,7.076874999999999,0.795,0.004375,0.7375,-0.74,0.26187499999999986
1,combined,C-EXT-RPHC-UK,0.99375,5.5625,160,0.9309375,5.605625000000001,0.718125,0.058437499999999996,1.44375,6.425,0.85625,0.01875,0.805,2.3415624999999998,0.7,0.005,0.7146874999999999,2.2528125,0.6771874999999999,0.0059375,,,,,0.8821875,5.596875,0.706875,0.0546875,0.9037499999999999,5.6546875,0.7109375,0.06000000000000001,,,,,0.45000000000000007,-0.18874999999999997,-0.06281250000000005
18,short,SB-XT-RPh----,1.175,4.0625,80,0.983125,4.038125,0.716875,0.115625,1.275,3.975,0.8125,0.025,0.043125,1.52875,0.51,0.003125,0.66125,3.071875,0.61375,0.20625,0.911875,4.06875,0.694375,0.134375,0.035625,3.53375,0.50375,0.020625,,,,,,,,,0.09999999999999987,-1.131875,-0.19187500000000002
18,long,LBE-T-RPhCL--,1.2,6.05,80,1.180625,6.04,0.795,0.000625,1.6625,9.1125,0.9125,0.0125,0.18,1.53,0.545,0.0,0.865,2.765,0.713125,0.0125,1.1375,6.10875,0.784375,0.0,0.16,4.851875,0.54,0.0,1.145,6.1625,0.78625,0.0,1.125,5.776875,0.78125,0.0,0.46250000000000013,-1.02,-0.01937499999999992
18,combined,C-EXT-RPHC-UK,1.1875,5.05625,160,1.0203125,5.0815624999999995,0.7421875,0.05156249999999999,1.46875,6.44375,0.8625,0.01875,0.8456250000000001,2.5253125,0.7096875,0.006875000000000001,0.8787499999999999,2.424375,0.718125,0.00625,,,,,1.0037500000000001,5.0443750000000005,0.7365625,0.05750000000000001,1.0415625,5.0840625,0.748125,0.0490625,,,,,0.28125,-0.34187499999999993,-0.16718750000000004
