fit,subject_ID,seed,human,model,n_games
short,45,10,68.0,54.0,80
short,45,11,68.0,74.0,80
short,45,12,68.0,60.0,80
short,45,13,68.0,67.0,80
short,45,14,68.0,61.0,80
short,45,15,68.0,48.0,80
short,45,16,68.0,66.0,80
short,45,17,68.0,67.0,80
short,45,18,68.0,77.0,80
short,45,19,68.0,75.0,80
short,45,20,68.0,62.0,80
short,45,21,68.0,60.0,80
short,45,22,68.0,43.0,80
short,45,23,68.0,64.0,80
short,45,24,68.0,68.0,80
short,45,25,68.0,70.0,80
short,45,26,68.0,83.0,80
short,45,27,68.0,66.0,80
short,45,28,68.0,72.0,80
short,45,29,68.0,66.0,80
short,45,30,68.0,75.0,80
short,45,31,68.0,72.0,80
short,45,32,68.0,84.0,80
short,45,33,68.0,61.0,80
short,45,34,68.0,79.0,80
short,45,35,68.0,67.0,80
short,45,36,68.0,63.0,80
short,45,37,68.0,66.0,80
short,45,38,68.0,76.0,80
short,45,39,68.0,42.0,80
short,45,40,68.0,87.0,80
short,45,41,68.0,65.0,80
short,45,42,68.0,51.0,80
short,45,43,68.0,52.0,80
short,45,44,68.0,70.0,80
short,45,45,68.0,58.0,80
short,45,46,68.0,51.0,80
short,45,47,68.0,73.0,80
short,45,48,68.0,62.0,80
short,45,49,68.0,62.0,80
short,73,0,94.0,73.0,80
short,73,1,94.0,66.0,80
short,73,2,94.0,76.0,80
short,73,3,94.0,70.0,80
short,73,4,94.0,61.0,80
short,73,5,94.0,67.0,80
short,73,6,94.0,71.0,80
short,73,7,94.0,59.0,80
short,73,8,94.0,79.0,80
short,73,9,94.0,83.0,80
short,73,10,94.0,70.0,80
short,73,11,94.0,61.0,80
short,73,12,94.0,78.0,80
short,73,13,94.0,58.0,80
short,73,14,94.0,75.0,80
short,73,15,94.0,82.0,80
short,73,16,94.0,69.0,80
short,73,17,94.0,86.0,80
short,73,18,94.0,60.0,80
short,73,19,94.0,74.0,80
short,73,20,94.0,67.0,80
short,73,21,94.0,50.0,80
short,73,22,94.0,77.0,80
short,73,23,94.0,82.0,80
short,73,24,94.0,66.0,80
short,73,25,94.0,67.0,80
short,73,26,94.0,75.0,80
short,73,27,94.0,83.0,80
short,73,28,94.0,73.0,80
short,73,29,94.0,56.0,80
short,73,30,94.0,80.0,80
short,73,31,94.0,90.0,80
short,73,32,94.0,74.0,80
short,73,33,94.0,72.0,80
short,73,34,94.0,61.0,80
short,73,35,94.0,64.0,80
short,73,36,94.0,72.0,80
short,73,37,94.0,56.0,80
short,73,38,94.0,66.0,80
short,73,39,94.0,81.0,80
short,73,40,94.0,74.0,80
short,73,41,94.0,91.0,80
short,73,42,94.0,74.0,80
short,73,43,94.0,59.0,80
short,73,44,94.0,79.0,80
short,73,45,94.0,78.0,80
short,73,46,94.0,73.0,80
short,73,47,94.0,58.0,80
short,73,48,94.0,76.0,80
short,73,49,94.0,68.0,80
short,24,0,60.0,67.0,80
short,24,1,60.0,70.0,80
short,24,2,60.0,52.0,80
short,24,3,60.0,72.0,80
short,24,4,60.0,67.0,80
short,24,5,60.0,79.0,80
short,24,6,60.0,84.0,80
short,24,7,60.0,71.0,80
short,24,8,60.0,58.0,80
short,24,9,60.0,70.0,80
short,24,10,60.0,63.0,80
short,24,11,60.0,48.0,80
short,24,12,60.0,85.0,80
short,24,13,60.0,76.0,80
short,24,14,60.0,83.0,80
short,24,15,60.0,66.0,80
short,24,16,60.0,73.0,80
short,24,17,60.0,66.0,80
short,24,18,60.0,47.0,80
short,24,19,60.0,68.0,80
short,24,20,60.0,53.0,80
short,24,21,60.0,71.0,80
short,24,22,60.0,58.0,80
short,24,23,60.0,72.0,80
short,24,24,60.0,66.0,80
short,24,25,60.0,64.0,80
short,24,26,60.0,67.0,80
short,24,27,60.0,81.0,80
short,24,28,60.0,89.0,80
short,24,29,60.0,62.0,80
short,24,30,60.0,62.0,80
short,24,31,60.0,68.0,80
short,24,32,60.0,59.0,80
short,24,33,60.0,78.0,80
short,24,34,60.0,84.0,80
short,24,35,60.0,46.0,80
short,24,36,60.0,72.0,80
short,24,37,60.0,66.0,80
short,24,38,60.0,59.0,80
short,24,39,60.0,59.0,80
short,24,40,60.0,76.0,80
short,24,41,60.0,70.0,80
short,24,42,60.0,65.0,80
short,24,43,60.0,51.0,80
short,24,44,60.0,76.0,80
short,24,45,60.0,66.0,80
short,24,46,60.0,67.0,80
short,24,47,60.0,55.0,80
short,24,48,60.0,81.0,80
short,24,49,60.0,76.0,80
short,71,0,80.0,48.0,80
short,71,1,80.0,47.0,80
short,71,2,80.0,58.0,80
short,71,3,80.0,69.0,80
short,71,4,80.0,66.0,80
short,71,5,80.0,65.0,80
short,71,6,80.0,77.0,80
short,71,7,80.0,69.0,80
short,71,8,80.0,53.0,80
short,71,9,80.0,57.0,80
short,71,10,80.0,59.0,80
short,71,11,80.0,71.0,80
short,71,12,80.0,70.0,80
short,71,13,80.0,85.0,80
short,71,14,80.0,59.0,80
short,71,15,80.0,65.0,80
short,71,16,80.0,37.0,80
short,71,17,80.0,65.0,80
short,71,18,80.0,55.0,80
short,71,19,80.0,65.0,80
short,71,20,80.0,36.0,80
short,71,21,80.0,66.0,80
short,71,22,80.0,57.0,80
short,71,23,80.0,67.0,80
short,71,24,80.0,60.0,80
short,71,25,80.0,61.0,80
short,71,26,80.0,67.0,80
short,71,27,80.0,72.0,80
short,71,28,80.0,89.0,80
short,71,29,80.0,46.0,80
short,71,30,80.0,65.0,80
short,71,31,80.0,72.0,80
short,71,32,80.0,68.0,80
short,71,33,80.0,72.0,80
short,71,34,80.0,77.0,80
short,71,35,80.0,78.0,80
short,71,36,80.0,63.0,80
short,71,37,80.0,58.0,80
short,71,38,80.0,77.0,80
short,71,39,80.0,61.0,80
short,71,40,80.0,65.0,80
short,71,41,80.0,47.0,80
short,71,42,80.0,66.0,80
short,71,43,80.0,59.0,80
short,71,44,80.0,54.0,80
short,71,45,80.0,50.0,80
short,71,46,80.0,40.0,80
short,71,47,80.0,62.0,80
short,71,48,80.0,59.0,80
short,71,49,80.0,49.0,80
short,76,0,69.0,47.0,80
short,76,1,69.0,67.0,80
short,76,2,69.0,41.0,80
short,76,3,69.0,33.0,80
short,76,4,69.0,62.0,80
short,76,5,69.0,75.0,80
short,76,6,69.0,68.0,80
short,76,7,69.0,53.0,80
short,76,8,69.0,68.0,80
short,76,9,69.0,43.0,80
short,76,10,69.0,28.0,80
short,76,11,69.0,38.0,80
short,76,12,69.0,67.0,80
short,76,13,69.0,56.0,80
short,76,14,69.0,54.0,80
short,76,15,69.0,33.0,80
short,76,16,69.0,60.0,80
short,76,17,69.0,43.0,80
short,76,18,69.0,51.0,80
short,76,19,69.0,51.0,80
short,76,20,69.0,49.0,80
short,76,21,69.0,47.0,80
short,76,22,69.0,72.0,80
short,76,23,69.0,51.0,80
short,76,24,69.0,52.0,80
short,76,25,69.0,67.0,80
short,76,26,69.0,38.0,80
short,76,27,69.0,54.0,80
short,76,28,69.0,47.0,80
short,76,29,69.0,56.0,80
short,76,30,69.0,28.0,80
short,76,31,69.0,65.0,80
short,76,32,69.0,38.0,80
short,76,33,69.0,66.0,80
short,76,34,69.0,45.0,80
short,76,35,69.0,14.0,80
short,76,36,69.0,41.0,80
short,76,37,69.0,65.0,80
short,76,38,69.0,70.0,80
short,76,39,69.0,69.0,80
short,76,40,69.0,31.0,80
short,76,41,69.0,60.0,80
short,76,42,69.0,67.0,80
short,76,43,69.0,38.0,80
short,76,44,69.0,61.0,80
short,76,45,69.0,63.0,80
short,76,46,69.0,36.0,80
short,76,47,69.0,76.0,80
short,76,48,69.0,45.0,80
short,76,49,69.0,52.0,80
short,96,0,68.0,49.0,80
short,96,1,68.0,59.0,80
short,96,2,68.0,63.0,80
short,96,3,68.0,50.0,80
short,96,4,68.0,50.0,80
short,96,5,68.0,57.0,80
short,96,6,68.0,48.0,80
short,96,7,68.0,43.0,80
short,96,8,68.0,58.0,80
short,96,9,68.0,49.0,80
short,96,10,68.0,74.0,80
short,96,11,68.0,46.0,80
short,96,12,68.0,59.0,80
short,96,13,68.0,62.0,80
short,96,14,68.0,63.0,80
short,96,15,68.0,53.0,80
short,96,16,68.0,58.0,80
short,96,17,68.0,40.0,80
short,96,18,68.0,44.0,80
short,96,19,68.0,64.0,80
short,96,20,68.0,50.0,80
short,96,21,68.0,53.0,80
short,96,22,68.0,76.0,80
short,96,23,68.0,50.0,80
short,96,24,68.0,35.0,80
short,96,25,68.0,46.0,80
short,96,26,68.0,66.0,80
short,96,27,68.0,50.0,80
short,96,28,68.0,70.0,80
short,96,29,68.0,49.0,80
short,96,30,68.0,74.0,80
short,96,31,68.0,49.0,80
short,96,32,68.0,52.0,80
short,96,33,68.0,64.0,80
short,96,34,68.0,51.0,80
short,96,35,68.0,88.0,80
short,96,36,68.0,48.0,80
short,96,37,68.0,45.0,80
short,96,38,68.0,49.0,80
short,96,39,68.0,53.0,80
short,96,40,68.0,54.0,80
short,96,41,68.0,65.0,80
short,96,42,68.0,72.0,80
short,96,43,68.0,55.0,80
short,96,44,68.0,50.0,80
short,96,45,68.0,70.0,80
short,96,46,68.0,67.0,80
short,96,47,68.0,54.0,80
short,96,48,68.0,56.0,80
short,96,49,68.0,50.0,80
short,98,0,78.0,76.0,80
short,98,1,78.0,70.0,80
short,98,2,78.0,51.0,80
short,98,3,78.0,36.0,80
short,98,4,78.0,73.0,80
short,98,5,78.0,63.0,80
short,98,6,78.0,46.0,80
short,98,7,78.0,71.0,80
short,98,8,78.0,68.0,80
short,98,9,78.0,56.0,80
short,98,10,78.0,65.0,80
short,98,11,78.0,48.0,80
short,98,12,78.0,66.0,80
short,98,13,78.0,67.0,80
short,98,14,78.0,50.0,80
short,98,15,78.0,56.0,80
short,98,16,78.0,77.0,80
short,98,17,78.0,72.0,80
short,98,18,78.0,41.0,80
short,98,19,78.0,66.0,80
short,98,20,78.0,81.0,80
short,98,21,78.0,59.0,80
short,98,22,78.0,56.0,80
short,98,23,78.0,64.0,80
short,98,24,78.0,31.0,80
short,98,25,78.0,69.0,80
short,98,26,78.0,61.0,80
short,98,27,78.0,41.0,80
short,98,28,78.0,50.0,80
short,98,29,78.0,82.0,80
short,98,30,78.0,68.0,80
short,98,31,78.0,62.0,80
short,98,32,78.0,63.0,80
short,98,33,78.0,71.0,80
short,98,34,78.0,56.0,80
short,98,35,78.0,68.0,80
short,98,36,78.0,64.0,80
short,98,37,78.0,72.0,80
short,98,38,78.0,63.0,80
short,98,39,78.0,56.0,80
short,98,40,78.0,72.0,80
short,98,41,78.0,52.0,80
short,98,42,78.0,58.0,80
short,98,43,78.0,70.0,80
short,98,44,78.0,56.0,80
short,98,45,78.0,61.0,80
short,98,46,78.0,79.0,80
short,98,47,78.0,34.0,80
short,98,48,78.0,54.0,80
short,98,49,78.0,54.0,80
short,97,0,65.0,51.0,80
short,97,1,65.0,57.0,80
short,97,2,65.0,75.0,80
short,97,3,65.0,69.0,80
short,97,4,65.0,60.0,80
short,97,5,65.0,43.0,80
short,97,6,65.0,47.0,80
short,97,7,65.0,38.0,80
short,97,8,65.0,46.0,80
short,97,9,65.0,59.0,80
short,97,10,65.0,49.0,80
short,97,11,65.0,51.0,80
short,97,12,65.0,34.0,80
short,97,13,65.0,62.0,80
short,97,14,65.0,37.0,80
short,97,15,65.0,69.0,80
short,97,16,65.0,55.0,80
short,97,17,65.0,53.0,80
short,97,18,65.0,62.0,80
short,97,19,65.0,67.0,80
short,97,20,65.0,68.0,80
short,97,21,65.0,63.0,80
short,97,22,65.0,67.0,80
short,97,23,65.0,82.0,80
short,97,24,65.0,46.0,80
short,97,25,65.0,48.0,80
short,97,26,65.0,71.0,80
short,97,27,65.0,58.0,80
short,97,28,65.0,79.0,80
short,97,29,65.0,62.0,80
short,97,30,65.0,50.0,80
short,97,31,65.0,54.0,80
short,97,32,65.0,52.0,80
short,97,33,65.0,67.0,80
short,97,34,65.0,70.0,80
short,97,35,65.0,51.0,80
short,97,36,65.0,62.0,80
short,97,37,65.0,73.0,80
short,97,38,65.0,58.0,80
short,97,39,65.0,66.0,80
short,97,40,65.0,53.0,80
short,97,41,65.0,51.0,80
short,97,42,65.0,64.0,80
short,97,43,65.0,78.0,80
short,97,44,65.0,71.0,80
short,97,45,65.0,49.0,80
short,97,46,65.0,70.0,80
short,97,47,65.0,76.0,80
short,97,48,65.0,41.0,80
short,97,49,65.0,67.0,80
short,79,0,62.0,74.0,80
short,79,1,62.0,61.0,80
short,79,2,62.0,69.0,80
short,79,3,62.0,55.0,80
short,79,4,62.0,33.0,80
short,79,5,62.0,83.0,80
short,79,6,62.0,57.0,80
short,79,7,62.0,66.0,80
short,79,8,62.0,74.0,80
short,79,9,62.0,88.0,80
short,79,10,62.0,58.0,80
short,79,11,62.0,41.0,80
short,79,12,62.0,53.0,80
short,79,13,62.0,65.0,80
short,79,14,62.0,68.0,80
short,79,15,62.0,49.0,80
short,79,16,62.0,39.0,80
short,79,17,62.0,46.0,80
short,79,18,62.0,57.0,80
short,79,19,62.0,72.0,80
short,79,20,62.0,65.0,80
short,79,21,62.0,65.0,80
short,79,22,62.0,79.0,80
short,79,23,62.0,45.0,80
short,79,24,62.0,72.0,80
short,79,25,62.0,62.0,80
short,79,26,62.0,71.0,80
short,79,27,62.0,71.0,80
short,79,28,62.0,74.0,80
short,79,29,62.0,52.0,80
short,79,30,62.0,73.0,80
short,79,31,62.0,43.0,80
short,79,32,62.0,59.0,80
short,79,33,62.0,68.0,80
short,79,34,62.0,35.0,80
short,79,35,62.0,51.0,80
short,79,36,62.0,50.0,80
short,79,37,62.0,58.0,80
short,79,38,62.0,74.0,80
short,79,39,62.0,67.0,80
short,79,40,62.0,71.0,80
short,79,41,62.0,76.0,80
short,79,42,62.0,63.0,80
short,79,43,62.0,79.0,80
short,79,44,62.0,52.0,80
short,79,45,62.0,58.0,80
short,79,46,62.0,48.0,80
short,79,47,62.0,62.0,80
short,79,48,62.0,63.0,80
short,79,49,62.0,41.0,80
short,58,0,61.0,60.0,80
short,58,1,61.0,48.0,80
short,58,2,61.0,54.0,80
short,58,3,61.0,70.0,80
short,58,4,61.0,69.0,80
short,58,5,61.0,52.0,80
short,58,6,61.0,47.0,80
short,58,7,61.0,60.0,80
short,58,8,61.0,36.0,80
short,58,9,61.0,71.0,80
short,58,10,61.0,71.0,80
short,58,11,61.0,75.0,80
short,58,12,61.0,43.0,80
short,58,13,61.0,53.0,80
short,58,14,61.0,32.0,80
short,58,15,61.0,64.0,80
short,58,16,61.0,58.0,80
short,58,17,61.0,49.0,80
short,58,18,61.0,50.0,80
short,58,19,61.0,55.0,80
short,58,20,61.0,65.0,80
short,58,21,61.0,57.0,80
short,58,22,61.0,61.0,80
short,58,23,61.0,53.0,80
short,58,24,61.0,61.0,80
short,58,25,61.0,58.0,80
short,58,26,61.0,53.0,80
short,58,27,61.0,61.0,80
short,58,28,61.0,76.0,80
short,58,29,61.0,49.0,80
short,58,30,61.0,56.0,80
short,58,31,61.0,54.0,80
short,58,32,61.0,61.0,80
short,58,33,61.0,61.0,80
short,58,34,61.0,53.0,80
short,58,35,61.0,52.0,80
short,58,36,61.0,62.0,80
short,58,37,61.0,55.0,80
short,58,38,61.0,28.0,80
short,58,39,61.0,61.0,80
short,58,40,61.0,51.0,80
short,58,41,61.0,57.0,80
short,58,42,61.0,61.0,80
short,58,43,61.0,40.0,80
short,58,44,61.0,49.0,80
short,58,45,61.0,64.0,80
short,58,46,61.0,44.0,80
short,58,47,61.0,81.0,80
short,58,48,61.0,75.0,80
short,58,49,61.0,52.0,80
short,9,0,88.0,72.0,80
short,9,1,88.0,71.0,80
short,9,2,88.0,73.0,80
short,9,3,88.0,77.0,80
short,9,4,88.0,83.0,80
short,9,5,88.0,81.0,80
short,9,6,88.0,79.0,80
short,9,7,88.0,78.0,80
short,9,8,88.0,77.0,80
short,9,9,88.0,75.0,80
short,9,10,88.0,54.0,80
short,9,11,88.0,75.0,80
short,9,12,88.0,51.0,80
short,9,13,88.0,63.0,80
short,9,14,88.0,79.0,80
short,9,15,88.0,79.0,80
short,9,16,88.0,84.0,80
short,9,17,88.0,80.0,80
short,9,18,88.0,68.0,80
short,9,19,88.0,74.0,80
short,9,20,88.0,76.0,80
short,9,21,88.0,79.0,80
short,9,22,88.0,75.0,80
short,9,23,88.0,69.0,80
short,9,24,88.0,87.0,80
short,9,25,88.0,74.0,80
short,9,26,88.0,56.0,80
short,9,27,88.0,69.0,80
short,9,28,88.0,68.0,80
short,9,29,88.0,67.0,80
short,9,30,88.0,75.0,80
short,9,31,88.0,89.0,80
short,9,32,88.0,66.0,80
short,9,33,88.0,76.0,80
short,9,34,88.0,69.0,80
short,9,35,88.0,79.0,80
short,9,36,88.0,55.0,80
short,9,37,88.0,74.0,80
short,9,38,88.0,76.0,80
short,9,39,88.0,71.0,80
short,9,40,88.0,58.0,80
short,9,41,88.0,74.0,80
short,9,42,88.0,67.0,80
short,9,43,88.0,86.0,80
short,9,44,88.0,83.0,80
short,9,45,88.0,84.0,80
short,9,46,88.0,56.0,80
short,9,47,88.0,75.0,80
short,9,48,88.0,87.0,80
short,9,49,88.0,76.0,80
short,35,0,83.0,59.0,80
short,35,1,83.0,47.0,80
short,35,2,83.0,54.0,80
short,35,3,83.0,61.0,80
short,35,4,83.0,77.0,80
short,35,5,83.0,80.0,80
short,35,6,83.0,55.0,80
short,35,7,83.0,70.0,80
short,35,8,83.0,62.0,80
short,35,9,83.0,72.0,80
short,35,10,83.0,61.0,80
short,35,11,83.0,76.0,80
short,35,12,83.0,66.0,80
short,35,13,83.0,69.0,80
short,35,14,83.0,61.0,80
short,35,15,83.0,54.0,80
short,35,16,83.0,72.0,80
short,35,17,83.0,83.0,80
short,35,18,83.0,65.0,80
short,35,19,83.0,57.0,80
short,35,20,83.0,85.0,80
short,35,21,83.0,68.0,80
short,35,22,83.0,56.0,80
short,35,23,83.0,57.0,80
short,35,24,83.0,50.0,80
short,35,25,83.0,71.0,80
short,35,26,83.0,63.0,80
short,35,27,83.0,72.0,80
short,35,28,83.0,84.0,80
short,35,29,83.0,72.0,80
short,35,30,83.0,72.0,80
short,35,31,83.0,79.0,80
short,35,32,83.0,72.0,80
short,35,33,83.0,67.0,80
short,35,34,83.0,66.0,80
short,35,35,83.0,66.0,80
short,35,36,83.0,77.0,80
short,35,37,83.0,74.0,80
short,35,38,83.0,66.0,80
short,35,39,83.0,52.0,80
short,35,40,83.0,78.0,80
short,35,41,83.0,81.0,80
short,35,42,83.0,73.0,80
short,35,43,83.0,63.0,80
short,35,44,83.0,64.0,80
short,35,45,83.0,63.0,80
short,35,46,83.0,71.0,80
short,35,47,83.0,55.0,80
short,35,48,83.0,62.0,80
short,35,49,83.0,69.0,80
short,92,0,66.0,39.0,80
short,92,1,66.0,68.0,80
short,92,2,66.0,54.0,80
short,92,3,66.0,50.0,80
short,92,4,66.0,51.0,80
short,92,5,66.0,59.0,80
short,92,6,66.0,68.0,80
short,92,7,66.0,49.0,80
short,92,8,66.0,70.0,80
short,92,9,66.0,47.0,80
short,92,10,66.0,79.0,80
short,92,11,66.0,42.0,80
short,92,12,66.0,52.0,80
short,92,13,66.0,93.0,80
short,92,14,66.0,95.0,80
short,92,15,66.0,42.0,80
short,92,16,66.0,66.0,80
short,92,17,66.0,58.0,80
short,92,18,66.0,59.0,80
short,92,19,66.0,65.0,80
short,92,20,66.0,60.0,80
short,92,21,66.0,64.0,80
short,92,22,66.0,76.0,80
short,92,23,66.0,60.0,80
short,92,24,66.0,51.0,80
short,92,25,66.0,59.0,80
short,92,26,66.0,62.0,80
short,92,27,66.0,79.0,80
short,92,28,66.0,74.0,80
short,92,29,66.0,54.0,80
short,92,30,66.0,45.0,80
short,92,31,66.0,64.0,80
short,92,32,66.0,40.0,80
short,92,33,66.0,66.0,80
short,92,34,66.0,73.0,80
short,92,35,66.0,71.0,80
short,92,36,66.0,71.0,80
short,92,37,66.0,75.0,80
short,92,38,66.0,81.0,80
short,92,39,66.0,88.0,80
short,92,40,66.0,71.0,80
short,92,41,66.0,54.0,80
short,92,42,66.0,70.0,80
short,92,43,66.0,65.0,80
short,92,44,66.0,63.0,80
short,92,45,66.0,66.0,80
short,92,46,66.0,56.0,80
short,92,47,66.0,60.0,80
short,92,48,66.0,47.0,80
short,92,49,66.0,46.0,80
short,42,0,64.0,76.0,80
short,42,1,64.0,79.0,80
short,42,2,64.0,84.0,80
short,42,3,64.0,56.0,80
short,42,4,64.0,78.0,80
short,42,5,64.0,71.0,80
short,42,6,64.0,76.0,80
short,42,7,64.0,58.0,80
short,42,8,64.0,71.0,80
short,42,9,64.0,55.0,80
short,42,10,64.0,66.0,80
short,42,11,64.0,70.0,80
short,42,12,64.0,80.0,80
short,42,13,64.0,61.0,80
short,42,14,64.0,83.0,80
short,42,15,64.0,62.0,80
short,42,16,64.0,62.0,80
short,42,17,64.0,60.0,80
short,42,18,64.0,61.0,80
short,42,19,64.0,67.0,80
short,42,20,64.0,84.0,80
short,42,21,64.0,66.0,80
short,42,22,64.0,72.0,80
short,42,23,64.0,78.0,80
short,42,24,64.0,32.0,80
short,42,25,64.0,63.0,80
short,42,26,64.0,49.0,80
short,42,27,64.0,68.0,80
short,42,28,64.0,57.0,80
short,42,29,64.0,76.0,80
short,42,30,64.0,68.0,80
short,42,31,64.0,55.0,80
short,42,32,64.0,75.0,80
short,42,33,64.0,51.0,80
short,42,34,64.0,70.0,80
short,42,35,64.0,72.0,80
short,42,36,64.0,61.0,80
short,42,37,64.0,56.0,80
short,42,38,64.0,53.0,80
short,42,39,64.0,77.0,80
short,42,40,64.0,70.0,80
short,42,41,64.0,64.0,80
short,42,42,64.0,71.0,80
short,42,43,64.0,57.0,80
short,42,44,64.0,69.0,80
short,42,45,64.0,68.0,80
short,42,46,64.0,70.0,80
short,42,47,64.0,66.0,80
short,42,48,64.0,64.0,80
short,42,49,64.0,70.0,80
short,40,0,12.0,31.0,80
short,40,1,12.0,36.0,80
short,40,2,12.0,38.0,80
short,40,3,12.0,30.0,80
short,40,4,12.0,66.0,80
short,40,5,12.0,49.0,80
short,40,6,12.0,66.0,80
short,40,7,12.0,73.0,80
short,40,8,12.0,49.0,80
short,40,9,12.0,42.0,80
short,40,10,12.0,45.0,80
short,40,11,12.0,28.0,80
short,40,12,12.0,33.0,80
short,40,13,12.0,40.0,80
short,40,14,12.0,38.0,80
short,40,15,12.0,58.0,80
short,40,16,12.0,17.0,80
short,40,17,12.0,47.0,80
short,40,18,12.0,41.0,80
short,40,19,12.0,54.0,80
short,40,20,12.0,47.0,80
short,40,21,12.0,32.0,80
short,40,22,12.0,50.0,80
short,40,23,12.0,31.0,80
short,40,24,12.0,30.0,80
short,40,25,12.0,30.0,80
short,40,26,12.0,62.0,80
short,40,27,12.0,34.0,80
short,40,28,12.0,42.0,80
short,40,29,12.0,22.0,80
short,40,30,12.0,44.0,80
short,40,31,12.0,62.0,80
short,40,32,12.0,32.0,80
short,40,33,12.0,28.0,80
short,40,34,12.0,38.0,80
short,40,35,12.0,40.0,80
short,40,36,12.0,47.0,80
short,40,37,12.0,34.0,80
short,40,38,12.0,23.0,80
short,40,39,12.0,68.0,80
short,40,40,12.0,41.0,80
short,40,41,12.0,29.0,80
short,40,42,12.0,30.0,80
short,40,43,12.0,28.0,80
short,40,44,12.0,34.0,80
short,40,45,12.0,39.0,80
short,40,46,12.0,51.0,80
short,40,47,12.0,28.0,80
short,40,48,12.0,38.0,80
short,40,49,12.0,43.0,80
short,50,0,76.0,89.0,80
short,50,1,76.0,63.0,80
short,50,2,76.0,80.0,80
short,50,3,76.0,80.0,80
short,50,4,76.0,81.0,80
short,50,5,76.0,38.0,80
short,50,6,76.0,64.0,80
short,50,7,76.0,69.0,80
short,50,8,76.0,52.0,80
short,50,9,76.0,71.0,80
short,50,10,76.0,76.0,80
short,50,11,76.0,72.0,80
short,50,12,76.0,61.0,80
short,50,13,76.0,88.0,80
short,50,14,76.0,75.0,80
short,50,15,76.0,67.0,80
short,50,16,76.0,55.0,80
short,50,17,76.0,70.0,80
short,50,18,76.0,63.0,80
short,50,19,76.0,67.0,80
short,50,20,76.0,55.0,80
short,50,21,76.0,75.0,80
short,50,22,76.0,74.0,80
short,50,23,76.0,55.0,80
short,50,24,76.0,61.0,80
short,50,25,76.0,72.0,80
short,50,26,76.0,62.0,80
short,50,27,76.0,75.0,80
short,50,28,76.0,79.0,80
short,50,29,76.0,70.0,80
short,50,30,76.0,53.0,80
short,50,31,76.0,73.0,80
short,50,32,76.0,49.0,80
short,50,33,76.0,82.0,80
short,50,34,76.0,78.0,80
short,50,35,76.0,69.0,80
short,50,36,76.0,86.0,80
short,50,37,76.0,67.0,80
short,50,38,76.0,71.0,80
short,50,39,76.0,67.0,80
short,50,40,76.0,68.0,80
short,50,41,76.0,68.0,80
short,50,42,76.0,72.0,80
short,50,43,76.0,63.0,80
short,50,44,76.0,46.0,80
short,50,45,76.0,68.0,80
short,50,46,76.0,78.0,80
short,50,47,76.0,69.0,80
short,50,48,76.0,61.0,80
short,50,49,76.0,62.0,80
short,30,0,63.0,63.0,80
short,30,1,63.0,54.0,80
short,30,2,63.0,53.0,80
short,30,3,63.0,61.0,80
short,30,4,63.0,80.0,80
short,30,5,63.0,63.0,80
short,30,6,63.0,65.0,80
short,30,7,63.0,64.0,80
short,30,8,63.0,56.0,80
short,30,9,63.0,60.0,80
short,30,10,63.0,61.0,80
short,30,11,63.0,65.0,80
short,30,12,63.0,67.0,80
short,30,13,63.0,50.0,80
short,30,14,63.0,51.0,80
short,30,15,63.0,70.0,80
short,30,16,63.0,63.0,80
short,30,17,63.0,72.0,80
short,30,18,63.0,77.0,80
short,30,19,63.0,50.0,80
short,30,20,63.0,48.0,80
short,30,21,63.0,63.0,80
short,30,22,63.0,59.0,80
short,30,23,63.0,63.0,80
short,30,24,63.0,48.0,80
short,30,25,63.0,78.0,80
short,30,26,63.0,64.0,80
short,30,27,63.0,73.0,80
short,30,28,63.0,66.0,80
short,30,29,63.0,51.0,80
short,30,30,63.0,61.0,80
short,30,31,63.0,54.0,80
short,30,32,63.0,39.0,80
short,30,33,63.0,55.0,80
short,30,34,63.0,57.0,80
short,30,35,63.0,74.0,80
short,30,36,63.0,74.0,80
short,30,37,63.0,67.0,80
short,30,38,63.0,74.0,80
short,30,39,63.0,73.0,80
short,30,40,63.0,64.0,80
short,30,41,63.0,71.0,80
short,30,42,63.0,60.0,80
short,30,43,63.0,72.0,80
short,30,44,63.0,79.0,80
short,30,45,63.0,57.0,80
short,30,46,63.0,59.0,80
short,30,47,63.0,72.0,80
short,30,48,63.0,64.0,80
short,30,49,63.0,61.0,80
short,85,0,62.0,53.0,80
short,85,1,62.0,58.0,80
short,85,2,62.0,54.0,80
short,85,3,62.0,60.0,80
short,85,4,62.0,67.0,80
short,85,5,62.0,78.0,80
short,85,6,62.0,60.0,80
short,85,7,62.0,55.0,80
short,85,8,62.0,71.0,80
short,85,9,62.0,56.0,80
short,85,10,62.0,59.0,80
short,85,11,62.0,64.0,80
short,85,12,62.0,50.0,80
short,85,13,62.0,54.0,80
short,85,14,62.0,54.0,80
short,85,15,62.0,26.0,80
short,85,16,62.0,63.0,80
short,85,17,62.0,60.0,80
short,85,18,62.0,28.0,80
short,85,19,62.0,63.0,80
short,85,20,62.0,74.0,80
short,85,21,62.0,77.0,80
short,85,22,62.0,55.0,80
short,85,23,62.0,65.0,80
short,85,24,62.0,56.0,80
short,85,25,62.0,42.0,80
short,85,26,62.0,64.0,80
short,85,27,62.0,31.0,80
short,85,28,62.0,63.0,80
short,85,29,62.0,47.0,80
short,85,30,62.0,59.0,80
short,85,31,62.0,59.0,80
short,85,32,62.0,37.0,80
