fit,subject_ID,seed,human,model,n_games
short,39,23,69.0,77.0,80
short,39,24,69.0,52.0,80
short,39,25,69.0,45.0,80
short,39,26,69.0,72.0,80
short,39,27,69.0,75.0,80
short,39,28,69.0,55.0,80
short,39,29,69.0,57.0,80
short,39,30,69.0,65.0,80
short,39,31,69.0,71.0,80
short,39,32,69.0,58.0,80
short,39,33,69.0,74.0,80
short,39,34,69.0,71.0,80
short,39,35,69.0,57.0,80
short,39,36,69.0,68.0,80
short,39,37,69.0,72.0,80
short,39,38,69.0,47.0,80
short,39,39,69.0,78.0,80
short,39,40,69.0,73.0,80
short,39,41,69.0,75.0,80
short,39,42,69.0,66.0,80
short,39,43,69.0,56.0,80
short,39,44,69.0,72.0,80
short,39,45,69.0,79.0,80
short,39,46,69.0,68.0,80
short,39,47,69.0,63.0,80
short,39,48,69.0,58.0,80
short,39,49,69.0,77.0,80
short,37,0,47.0,48.0,80
short,37,1,47.0,23.0,80
short,37,2,47.0,9.0,80
short,37,3,47.0,36.0,80
short,37,4,47.0,32.0,80
short,37,5,47.0,40.0,80
short,37,6,47.0,35.0,80
short,37,7,47.0,21.0,80
short,37,8,47.0,26.0,80
short,37,9,47.0,36.0,80
short,37,10,47.0,42.0,80
short,37,11,47.0,21.0,80
short,37,12,47.0,31.0,80
short,37,13,47.0,48.0,80
short,37,14,47.0,41.0,80
short,37,15,47.0,10.0,80
short,37,16,47.0,12.0,80
short,37,17,47.0,15.0,80
short,37,18,47.0,-5.0,80
short,37,19,47.0,25.0,80
short,37,20,47.0,18.0,80
short,37,21,47.0,12.0,80
short,37,22,47.0,32.0,80
short,37,23,47.0,25.0,80
short,37,24,47.0,47.0,80
short,37,25,47.0,31.0,80
short,37,26,47.0,9.0,80
short,37,27,47.0,18.0,80
short,37,28,47.0,23.0,80
short,37,29,47.0,39.0,80
short,37,30,47.0,15.0,80
short,37,31,47.0,25.0,80
short,37,32,47.0,31.0,80
short,37,33,47.0,23.0,80
short,37,34,47.0,5.0,80
short,37,35,47.0,10.0,80
short,37,36,47.0,32.0,80
short,37,37,47.0,40.0,80
short,37,38,47.0,33.0,80
short,37,39,47.0,35.0,80
short,37,40,47.0,21.0,80
short,37,41,47.0,34.0,80
short,37,42,47.0,17.0,80
short,37,43,47.0,37.0,80
short,37,44,47.0,29.0,80
short,37,45,47.0,36.0,80
short,37,46,47.0,25.0,80
short,37,47,47.0,31.0,80
short,37,48,47.0,44.0,80
short,37,49,47.0,15.0,80
short,1,0,85.0,68.0,80
short,1,1,85.0,47.0,80
short,1,2,85.0,38.0,80
short,1,3,85.0,75.0,80
short,1,4,85.0,51.0,80
short,1,5,85.0,33.0,80
short,1,6,85.0,64.0,80
short,1,7,85.0,74.0,80
short,1,8,85.0,61.0,80
short,1,9,85.0,68.0,80
short,1,10,85.0,71.0,80
short,1,11,85.0,63.0,80
short,1,12,85.0,82.0,80
short,1,13,85.0,56.0,80
short,1,14,85.0,41.0,80
short,1,15,85.0,53.0,80
short,1,16,85.0,51.0,80
short,1,17,85.0,46.0,80
short,1,18,85.0,65.0,80
short,1,19,85.0,50.0,80
short,1,20,85.0,48.0,80
short,1,21,85.0,44.0,80
short,1,22,85.0,67.0,80
short,1,23,85.0,49.0,80
short,1,24,85.0,63.0,80
short,1,25,85.0,29.0,80
short,1,26,85.0,52.0,80
short,1,27,85.0,74.0,80
short,1,28,85.0,56.0,80
short,1,29,85.0,32.0,80
short,1,30,85.0,46.0,80
short,1,31,85.0,33.0,80
short,1,32,85.0,48.0,80
short,1,33,85.0,59.0,80
short,1,34,85.0,54.0,80
short,1,35,85.0,46.0,80
short,1,36,85.0,50.0,80
short,1,37,85.0,60.0,80
short,1,38,85.0,61.0,80
short,1,39,85.0,61.0,80
short,1,40,85.0,54.0,80
short,1,41,85.0,57.0,80
short,1,42,85.0,66.0,80
short,1,43,85.0,66.0,80
short,1,44,85.0,63.0,80
short,1,45,85.0,64.0,80
short,1,46,85.0,63.0,80
short,1,47,85.0,46.0,80
short,1,48,85.0,60.0,80
short,1,49,85.0,35.0,80
short,18,0,94.0,77.0,80
short,18,1,94.0,80.0,80
short,18,2,94.0,72.0,80
short,18,3,94.0,76.0,80
short,18,4,94.0,77.0,80
short,18,5,94.0,87.0,80
short,18,6,94.0,76.0,80
short,18,7,94.0,87.0,80
short,18,8,94.0,82.0,80
short,18,9,94.0,86.0,80
short,18,10,94.0,73.0,80
short,18,11,94.0,71.0,80
short,18,12,94.0,84.0,80
short,18,13,94.0,63.0,80
short,18,14,94.0,57.0,80
short,18,15,94.0,70.0,80
short,18,16,94.0,76.0,80
short,18,17,94.0,69.0,80
short,18,18,94.0,77.0,80
short,18,19,94.0,75.0,80
short,18,20,94.0,66.0,80
short,18,21,94.0,71.0,80
short,18,22,94.0,68.0,80
short,18,23,94.0,72.0,80
short,18,24,94.0,67.0,80
short,18,25,94.0,73.0,80
short,18,26,94.0,77.0,80
short,18,27,94.0,79.0,80
short,18,28,94.0,83.0,80
short,18,29,94.0,89.0,80
short,18,30,94.0,82.0,80
short,18,31,94.0,88.0,80
short,18,32,94.0,85.0,80
short,18,33,94.0,59.0,80
short,18,34,94.0,77.0,80
short,18,35,94.0,85.0,80
short,18,36,94.0,68.0,80
short,18,37,94.0,66.0,80
short,18,38,94.0,71.0,80
short,18,39,94.0,85.0,80
short,18,40,94.0,83.0,80
short,18,41,94.0,70.0,80
short,18,42,94.0,86.0,80
short,18,43,94.0,78.0,80
short,18,44,94.0,68.0,80
short,18,45,94.0,87.0,80
short,18,46,94.0,79.0,80
short,18,47,94.0,73.0,80
short,18,48,94.0,83.0,80
short,18,49,94.0,86.0,80
short,8,0,82.0,86.0,80
short,8,1,82.0,75.0,80
short,8,2,82.0,59.0,80
short,8,3,82.0,79.0,80
short,8,4,82.0,63.0,80
short,8,5,82.0,69.0,80
short,8,6,82.0,69.0,80
short,8,7,82.0,76.0,80
short,8,8,82.0,76.0,80
short,8,9,82.0,87.0,80
short,8,10,82.0,84.0,80
short,8,11,82.0,74.0,80
short,8,12,82.0,75.0,80
short,8,13,82.0,79.0,80
short,8,14,82.0,75.0,80
short,8,15,82.0,66.0,80
short,8,16,82.0,79.0,80
short,8,17,82.0,76.0,80
short,8,18,82.0,75.0,80
short,8,19,82.0,80.0,80
short,8,20,82.0,79.0,80
short,8,21,82.0,62.0,80
short,8,22,82.0,78.0,80
short,8,23,82.0,78.0,80
short,8,24,82.0,76.0,80
short,8,25,82.0,76.0,80
short,8,26,82.0,79.0,80
short,8,27,82.0,60.0,80
short,8,28,82.0,71.0,80
short,8,29,82.0,74.0,80
short,8,30,82.0,79.0,80
short,8,31,82.0,63.0,80
short,8,32,82.0,81.0,80
short,8,33,82.0,83.0,80
short,8,34,82.0,66.0,80
short,8,35,82.0,73.0,80
short,8,36,82.0,72.0,80
short,8,37,82.0,64.0,80
short,8,38,82.0,73.0,80
short,8,39,82.0,82.0,80
short,8,40,82.0,68.0,80
short,8,41,82.0,61.0,80
short,8,42,82.0,59.0,80
short,8,43,82.0,92.0,80
short,8,44,82.0,72.0,80
short,8,45,82.0,72.0,80
short,8,46,82.0,83.0,80
short,8,47,82.0,57.0,80
short,8,48,82.0,59.0,80
short,8,49,82.0,60.0,80
short,32,0,87.0,62.0,80
short,32,1,87.0,58.0,80
short,32,2,87.0,83.0,80
short,32,3,87.0,71.0,80
short,32,4,87.0,56.0,80
short,32,5,87.0,60.0,80
short,32,6,87.0,83.0,80
short,32,7,87.0,80.0,80
short,32,8,87.0,71.0,80
short,32,9,87.0,75.0,80
short,32,10,87.0,46.0,80
short,32,11,87.0,67.0,80
short,32,12,87.0,66.0,80
short,32,13,87.0,60.0,80
short,32,14,87.0,71.0,80
short,32,15,87.0,66.0,80
short,32,16,87.0,47.0,80
short,32,17,87.0,59.0,80
short,32,18,87.0,76.0,80
short,32,19,87.0,57.0,80
short,32,20,87.0,62.0,80
short,32,21,87.0,82.0,80
short,32,22,87.0,60.0,80
short,32,23,87.0,68.0,80
short,32,24,87.0,45.0,80
short,32,25,87.0,48.0,80
short,32,26,87.0,53.0,80
short,32,27,87.0,65.0,80
short,32,28,87.0,62.0,80
short,32,29,87.0,67.0,80
short,32,30,87.0,63.0,80
short,32,31,87.0,66.0,80
short,32,32,87.0,79.0,80
short,32,33,87.0,85.0,80
short,32,34,87.0,41.0,80
short,32,35,87.0,63.0,80
short,32,36,87.0,70.0,80
short,32,37,87.0,59.0,80
short,32,38,87.0,56.0,80
short,32,39,87.0,69.0,80
short,32,40,87.0,61.0,80
short,32,41,87.0,57.0,80
short,32,42,87.0,53.0,80
short,32,43,87.0,74.0,80
short,32,44,87.0,41.0,80
short,32,45,87.0,74.0,80
short,32,46,87.0,57.0,80
short,32,47,87.0,60.0,80
short,32,48,87.0,77.0,80
short,32,49,87.0,73.0,80
short,68,0,73.0,39.0,80
short,68,1,73.0,41.0,80
short,68,2,73.0,56.0,80
short,68,3,73.0,33.0,80
short,68,4,73.0,46.0,80
short,68,5,73.0,77.0,80
short,68,6,73.0,29.0,80
short,68,7,73.0,53.0,80
short,68,8,73.0,54.0,80
short,68,9,73.0,57.0,80
short,68,10,73.0,43.0,80
short,68,11,73.0,63.0,80
short,68,12,73.0,85.0,80
short,68,13,73.0,30.0,80
short,68,14,73.0,63.0,80
short,68,15,73.0,50.0,80
short,68,16,73.0,72.0,80
short,68,17,73.0,58.0,80
short,68,18,73.0,47.0,80
short,68,19,73.0,51.0,80
short,68,20,73.0,25.0,80
short,68,21,73.0,40.0,80
short,68,22,73.0,51.0,80
short,68,23,73.0,35.0,80
short,68,24,73.0,42.0,80
short,68,25,73.0,41.0,80
short,68,26,73.0,23.0,80
short,68,27,73.0,58.0,80
short,68,28,73.0,49.0,80
short,68,29,73.0,39.0,80
short,68,30,73.0,53.0,80
short,68,31,73.0,49.0,80
