fit,n_subjects,n_games,human_points,optimal_points,shortfall,shortfall_sd,shortfall_median,shortfall_iqr_lo,shortfall_iqr_hi,wilcoxon_p,n_subjects_above_optimum,human_correct,optimal_correct,human_draws,optimal_draws,draws_diff,draws_p,n_subjects_below_optimal_draws
short,105,80.0,71.8,95.67619047619047,23.876190476190477,15.448235671039763,24.0,15.0,33.0,1.1254148640994524e-17,7,,0.7927380952380954,3.938452380952381,3.966547619047619,-0.028095238095238104,0.3603763793878876,57
long,105,80.0,88.21904761904761,131.78095238095239,43.56190476190476,12.517621279254397,43.0,35.0,51.0,5.672537780451066e-19,0,,0.9086904761904762,6.779285714285714,9.119166666666667,-2.3398809523809523,9.23446070075408e-19,101
combined,105,160.0,160.01904761904763,227.45714285714286,67.43809523809524,20.368208546995966,68.0,55.0,81.0,5.802385032087904e-19,0,,0.8507142857142858,5.358869047619049,6.542261904761904,-1.1833928571428571,1.9077632391370215e-18,99
