subject_ID,xi,tau,subjective_cost,patience,belief_bias,log_likelihood,n_obs
28,0.01156214604905298,17.077255324779294,-116.61734780354902,2.3063154299747706,1.176384901652906,-142.64091470434064,294
10,0.10076715468562547,7.816505037944943,-46.43022242743481,2.3652176562954548,0.8002163550526367,-121.89775457958463,291
53,2.1094237467877974e-15,11.801508160071819,-98.77772155507621,2.3754409502693905,0.6498573589348722,-117.02043903056975,302
39,2.7755575615628914e-16,10.561340192617713,-89.50290887780059,2.8788901854002744,0.40597240638827037,-106.18435085385627,339
37,0.05045145900186182,47.91936173909879,-293.77374476255494,4.159672711141199,2.411157776424615,-147.9553969551743,345
1,0.16988553626427916,11.536510503749568,-97.94509740978724,2.492687180152614,1.0939866656388253,-130.40666789538201,293
18,4.996003610813204e-16,11.56861627992842,-92.5722406623064,2.653121801526121,1.7179796756476637,-118.32132133130969,325
8,3.885780586188048e-16,7.506060027453742,-61.2149526033742,2.85437217108846,0.9510437571001629,-104.88469734872153,345
32,2.55351295663786e-15,17.220441797790556,-71.4311010690934,2.52262137081077,1.0919102626431878,-140.94405356473263,283
68,0.15137221160599745,13.689117067813442,-102.69802268730308,3.0822380304555494,2.509332250517662,-135.2501533416572,336
70,0.0,12.329024593368608,-111.60324581260116,2.82061581115638,1.2230436237250981,-111.14628715146183,344
44,0.3070086841297113,6.84715947377797,-60.93509400622918,2.6395966850659307,2.220446049153321e-15,-114.22091589706697,298
14,0.026197276053732343,15.965863663873073,-125.4147317838046,2.828118956636143,0.787745046835892,-123.93257579441915,329
78,3.941291737419306e-15,8.86099591532227,-54.91320312551228,3.2338404774486085,0.9951833489755295,-107.85428583336268,364
84,5.551115123125783e-17,7.470350586505646,-53.01285585195251,2.4793357085969014,1.2254435093306792,-107.77379009857505,307
55,0.022324784518893748,22.853806439223114,-165.48259571584094,2.5193652974290774,0.9315575752268217,-140.5365451360201,297
34,1.1102230246251565e-16,10.330007234974047,-84.34692406726305,2.3711478703046676,1.2239436994995192,-113.43295045698001,299
74,1.1102230246251565e-16,17.47341482202792,-89.37652715213454,3.032749501041997,1.2089900116235217,-131.14151858258776,325
65,5.551115123125783e-17,5.758227984210812,-73.1054892038053,2.2009237261176398,0.9611961997969485,-95.20380210290185,300
49,0.025980446049022166,21.89958343418923,-102.70240346716685,2.960023970193028,1.8435523135202023,-146.82772073945537,306
104,0.03279438625471476,15.346064441982001,-112.31480472867054,2.0804567705385884,0.10317512292976483,-133.04954898913138,266
89,0.09650725357339873,6.181780940587785,-74.22201951300337,2.5099574948006476,0.9679162595731627,-113.91904222969359,324
56,2.7755575615628914e-16,11.410153537605062,-60.928418013038524,1.9806633261741675,0.6039220843735198,-121.62224741123939,258
4,5.551115123125783e-17,11.223778501633817,-73.88824562125005,2.775362951876606,0.3290761180459927,-114.33343118992596,322
33,0.0,8.33434607116196,-77.21922308867416,2.7133438131721963,1.4973056288454756,-111.64991869412239,341
82,5.551115123125783e-17,9.304441662473948,-62.96488329122508,2.6698443610263443,0.4850113340217237,-113.77762697824089,320
41,0.0,8.334469801148863,-46.07476744886884,3.311137625769995,1.800730726356372,-103.83054741056759,362
47,2.2204460492165523e-16,8.25591187825703,-65.09397343829161,2.704884322613639,0.7854580508068799,-101.70243362861986,321
51,6.661338147750939e-16,14.213356375284597,-106.67524910741633,2.7679846709751508,0.07726450739301827,-129.35552696881248,340
63,5.551115123125783e-17,8.747094762729837,-87.51660422767446,2.4140392126609918,0.39804027214108606,-108.20484424470826,315
99,1.609823385706477e-15,10.30369042372967,-90.19999418437675,2.789603593585374,1.150164190972136,-117.59917431884205,349
26,5.551115123125783e-17,10.269225336708303,-102.50841364794411,2.5856144669674657,0.3527824273595175,-109.3300089700005,333
80,0.119019281683168,22.81881391517485,-110.69495403792999,3.0871422057961677,0.21505646007941248,-158.82571754047757,308
75,1.1102230246251565e-16,6.727294662836343,-66.76427287747542,2.4351274593147405,0.9516238528847305,-100.93491690990038,309
13,5.551115123125783e-17,9.3172253257071,-74.25659490092843,2.647540673458712,1.1745187736831844,-115.6086022177173,328
29,7.216449660063518e-16,12.369409302331192,-67.30442045226864,2.809739895075621,0.38989738812847774,-123.5714399866427,321
46,0.03207141423169868,15.331563401841528,-110.6256451104901,3.077129937966706,1.4775875884947942,-128.13648312281043,349
52,0.08699263028758264,22.626619182684127,-163.7869258974042,2.586892999001962,1.4101952969443101,-154.398802224928,298
67,4.440892098500626e-16,12.015153939574574,-89.10221664591995,2.287917083594026,0.7198607631499834,-118.83236414905255,288
105,5.551115123125783e-17,17.37515666086375,-78.593335666886,2.9663421584475684,0.24611826933607128,-133.0742685135418,316
101,5.551115123125783e-16,16.76651962534588,-108.1301166326977,3.1244917221952058,1.2373660632972276,-127.65263382527141,348
61,0.05901899097094071,5.7067553901252595,-64.3013964694772,2.446468487338462,1.3594995774986847,-104.05457949713056,311
27,0.00861554001286341,19.87259941186598,-108.53299206535831,3.2476458753065236,0.6043515728833679,-142.87723993278925,352
93,2.220446049250313e-16,20.239279921284687,-98.14506566681614,2.4970785942307145,0.1982920097681573,-140.4383990978272,279
17,3.885780586188048e-16,18.145283124039167,-139.9857646684048,2.436026072225337,1.2918308809010073,-131.17464011402126,308
7,0.023773026225925475,7.740805012751288,-88.1400567335257,1.778853219930121,0.9795081511600792,-107.43367308317097,263
12,0.0,10.740982591998247,-57.607740026628505,2.649736509896039,1.5369286267205013,-121.5804208253213,310
103,0.24804532345474178,2.9821865959411653,-51.083698941618565,2.4183509760931203,0.2005570791306237,-89.08063025012386,295
48,2.3869795029440866e-15,16.195466675790904,-111.21174263856766,2.5925859635477035,0.5440691504748023,-123.07821515055639,300
43,0.049026427420492014,9.876451394219302,-77.24604790441686,3.2115901386625887,2.220446049250313e-15,-111.9664557729731,360
100,0.12043006190817918,10.387712004427641,-100.15895860381967,2.576215864737799,0.9634996282068793,-118.954075363925,309
45,4.440892098500626e-16,11.3357273051355,-78.48459822046468,2.835680552222093,1.1305345047650484,-115.23049791637587,327
73,4.996003610813204e-16,9.38391767916783,-90.61080983363959,2.1028280995938107,1.1924867786188322,-113.71483062731349,292
24,1.1102230246251565e-16,17.239407202162518,-104.35013604975953,2.44628465950324,1.2424674672345501,-133.6119860654484,288
71,0.012806162391050535,19.420834144366637,-119.6401684590346,2.896788898510189,0.539727102415335,-131.5829703766417,316
76,0.13320796915577282,12.513129323639419,-82.70605402105289,2.9492695061342733,0.5510540783447093,-137.24977229400463,332
96,0.11222109757382431,4.851175457996014,-82.89676555690536,1.4138715621351663,1.2693495128750791,-99.52224669044536,230
98,0.02482053115755367,14.80177834024554,-96.15750216977938,2.540326044142434,1.2627844515286961,-136.25984659395868,304
97,1.1102230246251565e-16,14.448643160838436,-83.48024033574573,3.3674220035551232,1.026592230257804,-120.58561633178152,363
79,6.106226635438361e-16,21.631327697821014,-100.28597552812772,2.8848924480049636,1.4637472731419643,-148.8429212126919,310
58,9.43689570931383e-16,25.11369631682754,-162.43880313396824,3.23809452071267,1.4105729519829786,-134.92597015510566,346
9,2.220446049250313e-16,6.5575423833278705,-60.997953269791296,2.1869035460757074,1.17775272824979,-100.3595757397604,291
35,1.1102230246251565e-16,11.286841627533256,-75.23729620668773,2.5711917150656918,0.3691087011547354,-113.74679943681707,303
92,1.6653345369377348e-15,12.277670052874242,-56.34713559606898,2.5646441842691514,0.8596271925418106,-128.2151812397431,299
42,0.0087401867033704,18.647659183604148,-119.35441198241679,2.6835204472790863,1.2754562417453355,-132.9434540755862,304
40,3.3306690738754696e-16,19.631639360889686,-71.3214019915349,3.8598134518047704,1.5056652116226263,-137.72740185772733,374
50,0.012883233828128171,11.269190368401105,-103.04973990228028,2.500047542311293,1.0196487515285286,-118.76952555622428,320
30,1.1102230246251565e-15,13.673584325952518,-77.90345776903928,2.997810207805237,0.8334855985097984,-121.48768992294882,331
85,1.6653345369377348e-16,10.537292338531074,-106.71153329214985,2.832066417241871,1.0839258951708899,-106.27961692222163,357
57,0.12909612518795688,5.962272660336033,-75.81758631861985,2.3460202087150344,1.1942885114397264,-105.63838129400025,297
95,5.551115123125783e-17,11.59158525609093,-95.33514310570415,2.2895347744049714,0.7814729151280602,-118.47091742163201,298
21,0.14728123738075383,9.02315519412086,-84.45349611992911,2.6430603590751875,1.0299074113247073,-126.45139382221386,319
5,0.016541482964431142,22.587260998654656,-132.5223618308383,3.3796600171327342,1.4714225495201814,-130.48357670938552,342
72,0.29803558890031323,11.735418302631665,-84.95710666438477,2.6743667766660097,1.2886633076518772,-138.9948422145078,293
22,1.1102230246251565e-16,10.484601738159881,-87.10516513005686,2.180076135834471,1.1969826741991656,-116.68072981780361,288
87,0.030522888070427794,9.241806110301432,-93.73982844793318,2.489023767118516,0.7617448104345973,-119.56879814391819,326
3,0.06055313231468812,14.86423970845646,-114.79484585905678,2.1547330654185632,1.021888760654919,-139.32983524227373,277
15,0.14283027417553118,14.94492795729807,-116.14876303222962,2.8943396681499225,1.1242961463968055,-138.49094193517922,324
60,5.551115123125783e-17,8.188400047744956,-74.93862464236875,2.4162620256874527,1.6294588774024592,-104.66664814853202,304
16,0.23324664662511457,6.754465066610969,-64.29223797889418,2.576149866465617,0.9165109452476567,-110.45255511646471,299
11,1.1102230246251565e-16,13.108058969392594,-109.68875940897607,2.6770158946445024,0.8809489502613319,-114.97236481801619,325
83,3.885780586188048e-16,14.132150609048026,-74.061710067474,2.585941939671686,0.9903288146096636,-126.08510550140838,294
66,3.552713678800501e-15,15.47151085875523,-119.77545523659428,2.404562849292461,0.9876741752257256,-127.15661086807076,302
25,1.6653345369377348e-16,13.464846051305166,-87.1782408841473,2.7980595532866,0.5559400015485072,-122.43573439250383,323
2,7.771561172376096e-16,14.63439888814758,-75.50372785593595,2.8436824617562078,0.6439148908248487,-127.47937487717903,316
91,6.106226635438361e-16,10.386037329386596,-61.39220724558314,2.965512935065758,1.3725772753707337,-117.10808641768274,342
19,6.661338147750939e-16,15.091614264127017,-125.27288650829108,1.9948497270217729,0.23913723739666848,-128.21565227931424,279
90,0.04317424938246961,21.691728345660362,-161.49566881016565,2.852699455166114,0.6873744645558473,-138.44146761662174,321
69,0.07606557072163916,9.383740221467583,-90.50662552573847,2.608272308563973,0.33887569224973424,-112.64284197471547,316
31,0.07195853525401219,5.86037843043308,-52.60145689862175,2.4953085694101405,0.4853071625591716,-106.93090272261155,310
6,0.0,13.013671902006628,-102.87995014951042,2.6829782365189474,1.1199953959993236,-118.99654885149383,325
62,0.059383408398286874,6.084720801032489,-57.63995447145241,2.8760701255118164,0.6945848936786552,-101.95897435762193,345
59,1.1102230246251565e-16,25.5603202372851,-129.76480309686784,3.8415526504511877,0.7507707143623821,-132.27594776259488,368
36,5.551115123125783e-16,11.599826211569678,-81.03194640280536,2.4796795518786143,0.8493606118064385,-121.16503239008641,304
94,8.326672684688674e-16,16.88672938111869,-103.03073886178453,2.715687033764707,0.4307275717049337,-133.59838994214044,313
102,0.012611883361887177,14.355649427944428,-112.52275277166082,2.9771996172672988,1.0010892609842479,-123.0967551209949,350
86,0.056691637293476815,6.98038824095952,-63.80983451759472,1.8208210908476938,0.4232124657283034,-106.8838796413796,258
54,0.19671119006953902,7.880491014774677,-76.91651133734823,2.4442070674295815,0.7661819536452346,-123.51764717189864,296
23,3.2751579226442118e-15,9.55730231989552,-75.70719628602606,2.1991210023645387,1.899943778488462,-113.35685715770242,286
88,0.08418064522867108,7.709343305297132,-81.20226901408034,2.610096034326577,1.061211785864206,-114.58798428816286,325
64,5.551115123125783e-17,7.001793189676192,-58.70849594650687,2.1428571940685033,1.5505475376457314,-103.86364549779488,283
38,7.216449660063518e-16,26.835714066622234,-228.1313373691421,3.1204576431306212,1.1407266287691262,-119.67196877916378,356
81,1.7763568394002505e-15,24.04688309750631,-161.48966232982977,2.7841265571303127,0.3507808394752554,-136.96152486720425,314
77,0.035594992248020374,14.06046240632778,-120.08363382923734,1.9140978979504721,0.5164974641231774,-136.05187250156354,270
20,0.0448323172189537,15.54973413013981,-115.57861825552246,3.624127058807071,0.7605927333737306,-116.30886681386723,383
