subject_ID,tau,subjective_cost,patience,c_max,belief_bias,exaggeration_factor,hazard_lapse,log_likelihood,n_obs
28,11.582240729239004,-117.10113270814917,6.891175444452452,11.69250797950643,0.8338932277476678,1.4015277495852234,0.38385582727730305,-156.16565509358188,558
10,15.93103900989027,-131.93208647272513,6.571963960673477,21.05960665601824,1.499839537247681,1.5373001173798189,0.4288621937692936,-157.36980194152645,579
53,2.5945075634041714,-11.134111343640654,9.848988220610028,6.215135687175319,2.0409832401865025,1.670432293485446,0.9999999999999938,-132.26388167419842,755
39,19.56640877116682,-109.83724643590679,5.6977585611496515,31.348160517606285,1.0082411793485446,2.035317951236157,0.8701988261054195,-162.7643704389368,535
37,81.23498030429779,-299.9999959528421,6.060424977937512,79.99999983003194,1.2878587085651816e-14,1.6158379460021082,0.8480213171407267,-205.24242987607556,491
1,11.138935747346281,-72.45794343171215,7.0573495364177665,15.995879325815949,0.8442249319094075,1.5034669988247977,0.5827959166509311,-151.31499544968653,597
18,6.137831471759938,-40.4386031073725,6.063737972993184,8.524088754110892,0.33928874512452767,2.009803481935325,0.999999999999993,-143.5758114762112,484
8,2.773685049818539,-11.116283355852516,10.34682037205664,4.10154476875784,0.5409609874607122,1.8809603166905906,0.9999999999998836,-166.78675764074,684
32,8.112165290610704,-38.03357378595467,6.251084383067724,9.255667424527104,0.9571482711352988,1.8953703139681315,0.9999999999999323,-165.35417763671325,466
68,28.09960822008304,-209.1425606525515,5.05937207416476,48.19588264645299,7.413960971163602e-17,1.3905399234845903,0.6752226882882418,-159.47124674596222,531
70,27.54943626217751,-267.3204303915111,4.765410979358105,53.75153255262575,0.45345488550171886,2.7639752853364064,0.9999999999997379,-145.60353005567495,559
44,8.643097573786548,-49.423259910341955,6.952744523873031,11.874015487023726,0.33241525903758573,1.4700658231835066,0.9532107543421681,-157.36081580481837,576
14,5.472278721344949,-42.05925216704124,10.677944298394305,5.258156187744277,1.3723878272988075,2.408210508890873,0.9886530864258084,-164.86933893590762,671
78,6.358415196077246,-27.118653976840648,10.00624257234908,11.191488532822742,1.566611184502114,3.0919515161099493,0.9999999999998926,-154.38786755757184,750
84,5.284925305691296,-39.149979992051584,6.870234513294665,12.533778807460951,0.9547975617011379,1.8747977166692051,0.9311930872653515,-121.03579219429479,611
55,47.648123942539996,-299.99999999999477,2.9726316104882162,79.99999999999447,0.7983725497003593,1.1332848760788177,0.36404607808585737,-170.66490011759976,340
34,23.96342592486775,-186.75077118668742,5.22699597791306,79.99999999999915,1.6740759553818796,2.630401581942457,0.9878090887762535,-145.65116664765597,613
74,59.953297816721914,-299.9999999999874,5.94588020239855,64.8856488987507,0.7241330060215543,1.1532013271725914,0.643065206460093,-189.13499423120265,521
65,18.693074097571607,-164.96534313090808,5.721455575433626,25.806878898053053,3.7747582836972106e-17,1.7980245998129243,0.564549244294757,-151.83950620617372,540
49,22.473758713703717,-110.51665960428325,5.972461628449153,23.316047982696556,0.5989867711147727,1.4875358813595452,0.6485673502690985,-180.4940446842339,473
104,42.7890100516884,-247.63855867886014,4.021882004981753,54.66816196868952,0.10019816460491571,1.3535252177587527,0.6956651480250804,-177.6236022503461,403
89,26.550616949600453,-150.15450630463394,4.79935075594438,62.20037206398813,1.3064580437327227,0.8349488768536626,0.6665292311009128,-160.42733679205733,505
56,11.516997905939675,-106.99155061482345,5.939055620777896,16.10075578642311,2.08511163203837,1.9947383324416113,0.5449682994431859,-146.4207952744409,530
4,11.038933581516751,-83.03818947412712,6.825132769195388,17.644153606692115,0.34592845144534934,1.4666989957483763,0.5289951564729759,-145.65167854789567,598
33,36.49752320954246,-265.51072268693366,5.3398790782474626,79.99999999998249,0.8477696537159949,1.7062175828908077,0.5427950727585137,-159.15710931256606,578
82,20.771735730626727,-112.00307190775023,6.558880377088219,26.02696318129107,0.8432365061069125,1.876251136931459,0.8262441099317259,-170.25622579041746,567
41,11.304593824251796,-68.36480817795018,8.819340694029664,20.164234872238588,1.506461820137074,2.304236735158268,0.3169027525765582,-138.14352354052326,736
47,5.153776084930826,-36.958982396928945,5.687142516039539,13.61251327880169,1.321105916156189,1.1000084823221343,0.9999999999999675,-126.25578007121491,517
51,19.56761556430351,-130.07112101721566,7.028617093081689,23.536498733609616,0.5560423429136037,2.2153877148736805,0.12130340507982201,-162.42722504475836,569
63,18.91584287281724,-128.28545292702938,6.668407559035813,23.000131821388415,1.5675434476460681,2.654808059223358,0.360066435832485,-162.11279821656547,559
