,SB-XT-RPh----,SBEXT-RPh----,SBEXT-RPhC---,S--XT-RPH--UK,SBEXT-RPH----
SB-XT-RPh----,28364.86,28859.79,29367.99,29550.81,29418.34
SBEXT-RPh----,28719.86,28672.85,29192.64,29894.16,29229.23
SBEXT-RPhC---,28414.14,28414.43,28092.8,28866.48,28763.51
S--XT-RPH--UK,28508.29,28956.62,28900.54,28753.5,29398.51
SBEXT-RPH----,28626.99,28631.93,29067.56,29718.15,29133.23
