,SB-XT-RPh----,SBEXT-RPh----,SBEXT-RPhC---,S--XT-RPH--UK,SBEXT-RPH----
SB-XT-RPh----,111095.79,111735.12,112369.16,113044.23,112522.21
SBEXT-RPh----,110896.5,109558.8,110217.16,112798.84,110319.47
SBEXT-RPhC---,106592.34,104952.82,103152.2,106562.38,104943.78
S--XT-RPH--UK,80992.08,81574.93,81118.52,80580.09,82180.58
SBEXT-RPH----,110862.82,109448.91,109924.3,112453.64,109941.32
