index,model
1,L--XT---H----
2,L--XT-R------
3,L--XT-R-H----
4,L--XT-R-H-L--
5,L--XT-R-h-L--
6,L--XT-RPH--UK
7,L--XT-RPHC-UK
8,LB--T-R-h-L--
9,LB--T-RPhCL--
10,LB-XT-RP-C-UK
11,LB-XT-RPHC-UK
12,LB-XT-RPHCLUK
13,LB-XT-RPhCLUK
14,LBE-T-R-h-L--
15,LBE-T-RPHCL--
16,LBE-T-RPhCL--
17,LBEX--RPhC---
18,LBEX--RPhCLUK
19,LBEXT--PHCLUK
20,LBEXT-R-H----
21,LBEXT-RP-C-UK
22,LBEXT-RPHC---
23,LBEXT-RPHCL--
24,LBEXT-RPHCLUK
25,LBEXT-RPhC---
26,LBEXT-RPhCL--
27,LBEXT-RPhCLUK
