,SB-XT-RPh----,SBEXT-RPh----,SBEXT-RPhC---,S--XT-RPH--UK,SBEXT-RPH----
SB-XT-RPh----,0.0,494.93,1003.13,1185.95,1053.48
SBEXT-RPh----,47.02,0.0,519.8,1221.32,556.39
SBEXT-RPhC---,321.34,321.63,0.0,773.68,670.72
S--XT-RPH--UK,-245.2,203.12,147.05,0.0,645.01
SBEXT-RPH----,-506.24,-501.31,-65.67,584.92,0.0
