,LBE-T-RPhCL--,LBEXT-RPhCL--,LB--T-RPhCL--,LBE-T-RPHCL--,LBEXT-RPhC---
LBE-T-RPhCL--,0.0,751.76,6584.62,885.29,3862.94
LBEXT-RPhCL--,1112.14,0.0,6739.92,1964.28,2172.48
LB--T-RPhCL--,705.78,1438.45,0.0,1534.26,5734.44
LBE-T-RPHCL--,-908.37,-154.4,5624.24,0.0,2975.76
LBEXT-RPhC---,4644.03,748.31,10437.11,5483.56,0.0
