,SB-XT-RPh----,SBEXT-RPh----,SBEXT-RPhC---,S--XT-RPH--UK,SBEXT-RPH----
SB-XT-RPh----,0.0,639.33,1273.36,1948.44,1426.41
SBEXT-RPh----,1337.7,0.0,658.35,3240.03,760.67
SBEXT-RPhC---,3440.13,1800.62,0.0,3410.18,1791.58
S--XT-RPH--UK,411.99,994.84,538.44,0.0,1600.49
SBEXT-RPH----,921.5,-492.41,-17.02,2512.32,0.0
