,C-EXT-RPHC-UK,C-E-T-RPHC-UK,C--XT-RPHC-UK,CB-XT-RPHC-UK,CBEXT-RPhCLUK
C-EXT-RPHC-UK,0.0,10557.95,3767.67,4149.11,1008.85
C-E-T-RPHC-UK,813.88,0.0,4402.31,4755.82,1933.99
C--XT-RPHC-UK,1047.65,12561.87,0.0,720.5,2259.53
CB-XT-RPHC-UK,1479.82,12912.44,529.96,0.0,1118.09
CBEXT-RPhCLUK,608.84,8865.11,4293.25,3644.26,0.0
