,C-EXT-RPHC-UK,C-E-T-RPHC-UK,C--XT-RPHC-UK,CB-XT-RPHC-UK,CBEXT-RPhCLUK
C-EXT-RPHC-UK,0.0,2497.53,691.51,1237.44,1387.56
C-E-T-RPHC-UK,708.99,0.0,1264.03,1863.78,1779.0
C--XT-RPHC-UK,630.08,3609.88,0.0,609.97,2138.56
CB-XT-RPHC-UK,241.58,3123.96,-385.51,0.0,1751.03
CBEXT-RPhCLUK,-1200.77,1098.78,-660.9,-273.86,0.0
