,C-EXT-RPHC-UK,C-E-T-RPHC-UK,C--XT-RPHC-UK,CB-XT-RPHC-UK,CBEXT-RPhCLUK
C-EXT-RPHC-UK,228857.77,239415.71,232625.43,233006.88,229866.62
C-E-T-RPHC-UK,230858.42,230044.55,234446.86,234800.37,231978.54
C--XT-RPHC-UK,222780.83,234295.05,221733.19,222453.69,223992.72
CB-XT-RPHC-UK,229207.71,240640.33,228257.84,227727.89,228845.98
CBEXT-RPhCLUK,202229.84,210486.11,205914.26,205265.26,201621.0
