index,model
1,S--XT---H----
2,S--XT-R------
3,S--XT-R-H----
4,S--XT-R-h----
5,S--XT-RPH--UK
6,S--XT-RPHC-UK
7,SB-XT-R-h----
8,SB-XT-RP-C-UK
9,SB-XT-RPHC-UK
10,SB-XT-RPh----
11,SB-XT-RPhC-UK
12,SBEXT--PHC-UK
13,SBEXT-R-h----
14,SBEXT-RP-C-UK
15,SBEXT-RPH----
16,SBEXT-RPHC---
17,SBEXT-RPHC-U-
18,SBEXT-RPHC-UK
19,SBEXT-RPh----
20,SBEXT-RPhC---
21,SBEXT-RPhC-UK
