,C-EXT-RPHC-UK,C-E-T-RPHC-UK,C--XT-RPHC-UK,CB-XT-RPHC-UK,CBEXT-RPhCLUK
C-EXT-RPHC-UK,66716.59,69214.12,67408.1,67954.04,68104.15
C-E-T-RPHC-UK,66895.63,66186.65,67450.67,68050.43,67965.65
C--XT-RPHC-UK,68015.87,70995.67,67385.79,67995.76,69524.35
CB-XT-RPHC-UK,67784.06,70666.44,67156.98,67542.48,69293.51
CBEXT-RPhCLUK,67357.94,69657.5,67897.82,68284.85,68558.71
