,LBE-T-RPhCL--,LBEXT-RPhCL--,LB--T-RPhCL--,LBE-T-RPHCL--,LBEXT-RPhC---
LBE-T-RPhCL--,129383.66,130135.42,135968.28,130268.94,133246.59
LBEXT-RPhCL--,126755.86,125643.72,132383.64,127608.01,127816.21
LB--T-RPhCL--,133260.33,133993.0,132554.55,134088.8,138288.98
LBE-T-RPHCL--,129931.18,130685.15,136463.79,130839.55,133815.32
LBEXT-RPhC---,126445.44,122549.71,132238.51,127284.96,121801.4
